Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Faixa Etária Detalhada
Período:2017
"Município-BA";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 ano";"2 anos";"3 anos";"4 anos";"5 anos";"6 anos";"7 anos";"8 anos";"9 anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"15 anos";"16 anos";"17 anos";"18 anos";"19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"292580 Queimadas";2;1;-;-;-;1;-;1;-;-;-;1;-;-;-;-;1;1;1;-;2;1;5;2;2;3;4;7;2;5;7;16;20;9;79;-;173
"292590 Quijingue";2;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;2;2;1;4;1;3;5;11;6;9;14;18;59;-;142
"292593 Quixabeira";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;2;-;4;1;1;1;3;4;7;4;1;14;-;45
"292595 Rafael Jambeiro";2;1;1;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;2;-;-;-;1;2;4;1;2;12;8;10;10;11;17;14;59;-;160
"292600 Remanso";2;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;3;1;-;-;7;5;3;12;9;8;9;11;18;21;20;25;66;-;225
"292610 Retirolândia";-;1;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;1;2;2;4;1;5;3;1;5;4;7;26;-;67
"292620 Riachão das Neves";1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;3;4;8;5;10;10;9;6;14;9;8;13;33;-;139
"292630 Riachão do Jacuípe";4;3;-;-;-;-;-;1;-;-;1;1;-;1;-;1;-;-;-;2;1;-;4;7;9;6;7;11;13;9;9;18;18;28;81;-;235
"292640 Riacho de Santana";2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;2;4;4;3;4;3;11;3;10;8;12;14;17;72;-;173
"292650 Ribeira do Amparo";1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;-;2;4;1;5;4;6;5;2;10;25;-;72
"292660 Ribeira do Pombal";8;-;2;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;1;7;7;9;12;6;17;23;10;18;24;50;55;111;-;367
"292665 Ribeirão do Largo";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;-;2;-;3;2;4;1;1;1;2;7;14;-;42
"292670 Rio de Contas";3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;1;-;1;3;-;4;4;7;2;3;8;39;-;80
"292680 Rio do Antônio";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;3;1;3;3;4;4;6;9;11;35;-;84
"292690 Rio do Pires";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;3;7;3;4;4;2;28;-;57
"292700 Rio Real";8;-;-;1;-;-;-;-;2;-;-;-;-;-;-;1;2;2;1;2;2;1;9;8;10;7;17;7;14;14;22;25;22;25;81;-;283
"292710 Rodelas";2;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;5;2;3;3;3;1;6;2;6;2;5;4;20;-;68
"292720 Ruy Barbosa";8;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;1;1;5;4;2;8;7;6;8;11;17;18;22;24;76;-;222
"292730 Salinas da Margarida";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;4;2;3;4;2;4;-;9;5;11;8;13;20;-;90
"292740 Salvador";296;89;133;35;14;15;5;8;9;2;8;5;5;8;14;12;20;37;69;105;117;139;660;455;485;500;538;698;907;1219;1457;1475;1477;1500;4370;2;16888
"292750 Santa Bárbara";4;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;2;5;7;13;12;7;10;10;14;14;56;-;161
"292760 Santa Brígida";1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;-;2;1;1;4;1;7;4;2;8;3;8;2;17;-;67
"292770 Santa Cruz Cabrália";4;-;1;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;3;5;1;3;5;6;7;5;2;10;4;10;14;16;12;10;27;-;148
"292780 Santa Cruz da Vitória";1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;1;2;-;6;-;1;2;6;16;-;40
"292790 Santa Inês";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2;1;1;2;1;3;4;4;4;7;11;5;44;-;91
"292805 Santa Luzia";5;-;-;-;-;-;1;1;-;-;-;-;-;-;-;1;1;1;-;-;-;-;2;5;3;2;4;5;5;2;9;8;7;10;22;-;94
"292810 Santa Maria da Vitória";6;-;2;1;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;8;10;5;13;10;13;7;17;11;20;20;24;71;2;243
"292840 Santa Rita de Cássia";7;-;3;2;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;1;5;4;10;10;3;6;6;8;9;17;14;62;-;170
"292850 Santa Teresinha";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;3;3;3;3;-;-;4;2;6;6;6;6;32;-;77
"292800 Santaluz";1;-;3;1;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;2;-;6;5;4;5;7;5;8;14;16;13;14;24;54;-;186
"292820 Santana";2;1;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;2;1;-;1;4;4;4;6;4;11;10;4;10;25;-;93
"292830 Santanópolis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2;4;2;2;3;4;3;8;6;33;-;69
"292860 Santo Amaro";10;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;3;10;13;5;15;11;19;21;23;33;37;35;46;93;-;379
"292870 Santo Antônio de Jesus";10;3;3;2;1;1;-;-;-;-;-;-;-;-;1;-;1;2;2;7;1;7;28;22;15;21;21;26;36;44;57;51;53;62;175;-;652
"292880 Santo Estêvão";3;6;2;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;1;-;2;1;11;11;8;11;7;19;19;23;15;29;31;41;105;-;348
"292890 São Desidério";4;-;4;2;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;1;1;2;2;4;3;6;4;4;7;12;3;9;5;10;36;-;122
"292895 São Domingos";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;2;1;1;2;1;5;4;7;25;-;53
"292910 São Felipe";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;3;4;2;2;3;6;6;10;7;10;13;20;40;-;133
"292900 São Félix";1;1;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;1;2;1;4;3;5;4;2;5;5;9;5;9;10;10;33;-;113
"292905 São Félix do Coribe";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;3;1;3;2;6;2;4;4;6;4;7;8;35;-;89
"292920 São Francisco do Conde";6;-;-;3;-;1;-;1;-;-;1;-;-;-;-;-;-;1;1;-;2;2;7;5;5;11;7;8;13;14;24;16;18;23;46;-;215
"292925 São Gabriel";4;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;2;2;4;4;4;7;3;4;12;12;9;37;-;109
"292930 São Gonçalo dos Campos";2;1;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;1;-;1;8;4;7;9;2;11;14;12;10;20;18;25;75;-;225
"292935 São José da Vitória";3;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4;2;1;1;4;-;1;1;6;7;4;3;10;-;50
"292937 São José do Jacuípe";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;4;2;2;2;2;2;5;4;8;6;19;-;60
"292940 São Miguel das Matas";4;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;2;3;2;2;7;2;3;7;9;21;-;66
"292950 São Sebastião do Passé";5;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;1;3;1;2;4;1;9;9;7;11;10;7;22;14;20;24;14;16;69;-;252
"292960 Sapeaçu";2;-;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;1;-;6;1;-;1;3;8;4;12;12;10;14;10;35;-;127
"292970 Sátiro Dias";1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;3;5;3;5;4;1;8;8;6;11;10;10;32;-;111
"292975 Saubara";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;7;5;3;1;3;3;4;7;5;8;7;7;27;-;91
"292980 Saúde";3;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;1;1;-;-;-;-;1;1;2;3;1;1;2;8;5;8;10;7;21;-;78
"292990 Seabra";7;2;4;2;-;-;-;-;-;-;-;-;-;-;1;-;2;2;-;-;-;1;6;4;6;9;8;9;14;7;16;15;23;33;97;-;268
"293000 Sebastião Laranjeiras";-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;3;4;3;3;2;9;15;-;44
"293010 Senhor do Bonfim";9;1;5;1;2;-;1;1;-;-;-;-;1;-;-;-;1;1;3;5;1;3;10;9;14;14;21;28;29;36;45;43;48;57;146;-;535
"293020 Sento Sé";7;2;2;2;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;2;6;1;4;6;6;6;3;8;12;15;10;13;29;-;138
"293015 Serra do Ramalho";4;-;4;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;1;1;5;6;1;9;11;5;4;7;8;9;15;17;57;2;170
"293030 Serra Dourada";2;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;2;1;-;2;2;7;4;6;9;15;26;-;81
"293040 Serra Preta";1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;7;-;1;4;2;5;5;5;11;8;11;18;65;-;146
"293050 Serrinha";9;4;3;-;-;1;-;-;-;1;2;-;-;-;-;-;-;-;1;1;2;1;16;13;10;20;21;21;28;31;34;47;39;45;140;-;490
"293060 Serrolândia";1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;2;6;2;4;4;5;4;8;11;8;12;33;-;105
"293070 Simões Filho";15;4;8;3;1;-;-;-;1;-;1;-;1;-;-;1;2;5;7;10;10;14;59;40;28;42;35;46;49;59;67;64;67;61;130;-;830
"293075 Sítio do Mato";2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;3;2;2;4;2;5;3;2;9;3;5;8;-;55
"293076 Sítio do Quinto";2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;2;3;1;4;4;4;3;8;7;5;21;-;69
"293077 Sobradinho";5;2;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;3;6;6;5;5;2;11;13;12;13;13;31;-;133
"293080 Souto Soares";5;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;2;3;6;2;9;4;1;9;12;11;12;34;-;116
"293090 Tabocas do Brejo Velho";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;1;-;2;4;-;3;2;5;5;15;-;41
"293100 Tanhaçu";6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;3;5;3;7;9;12;17;7;53;-;126
"293105 Tanque Novo";1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;3;5;5;8;3;6;3;2;11;8;41;-;101
"293110 Tanquinho";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;3;2;3;-;2;4;2;9;5;12;6;18;-;71
"293120 Taperoá";2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;2;4;3;3;5;4;3;8;13;10;5;10;30;-;104
"293130 Tapiramutá";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;6;1;3;5;3;3;9;5;8;10;9;20;-;85
"293135 Teixeira de Freitas";9;6;6;2;-;-;1;1;1;-;-;-;-;-;1;2;1;5;5;9;10;9;28;22;32;33;36;51;61;67;84;59;93;89;248;-;971
"293140 Teodoro Sampaio";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;4;2;1;1;1;4;2;4;5;3;21;-;52
"293150 Teofilândia";1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;2;2;-;2;5;1;4;3;-;6;5;7;9;14;15;13;34;-;126
"293160 Teolândia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2;1;4;2;3;3;4;5;5;5;6;2;15;-;60
"293170 Terra Nova";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2;1;2;3;1;-;8;5;6;6;10;22;-;70
"293180 Tremedal";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;3;2;1;6;6;4;6;12;12;47;-;105
"293190 Tucano";6;-;3;-;-;-;-;-;-;-;-;1;-;1;-;-;-;2;3;2;-;2;7;6;5;6;5;12;14;10;16;31;29;27;88;-;276
"293200 Uauá";3;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;2;2;5;2;6;5;5;4;7;10;15;19;66;-;158
"293210 Ubaíra";2;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;5;-;3;5;4;3;9;6;8;7;11;10;48;-;128
"293220 Ubaitaba";3;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;2;1;1;1;-;6;6;6;5;4;4;7;9;7;22;12;14;33;1;147
"293230 Ubatã";3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;4;3;6;1;6;10;11;12;16;14;10;41;-;140
"293240 Uibaí";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;-;6;1;5;7;8;5;6;13;7;35;-;99
"293245 Umburanas";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;4;2;-;5;4;2;3;3;6;6;5;7;13;-;63
"293250 Una";5;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;1;2;-;2;4;2;7;2;4;3;8;11;14;17;12;14;29;-;141
"293260 Urandi";1;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;1;1;1;2;2;5;5;9;7;3;11;18;28;-;100
"293270 Uruçuca";5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;4;3;4;5;2;4;14;11;15;11;17;41;-;141
"293280 Utinga";1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;1;2;3;2;5;3;1;5;10;6;8;8;11;33;-;103
"293290 Valença";21;-;4;1;1;-;-;1;-;-;-;-;-;-;-;-;1;1;2;6;6;3;17;20;15;19;13;25;27;26;43;46;49;52;156;-;555
"293300 Valente";5;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;4;-;1;-;4;5;1;2;6;4;11;8;7;11;14;21;40;-;149
"293305 Várzea da Roça";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;4;2;1;1;2;4;3;5;4;9;9;23;-;73
"293310 Várzea do Poço";2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;-;1;1;-;2;4;11;7;4;7;17;-;62
"293315 Várzea Nova";1;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;1;-;-;2;5;4;2;6;6;6;6;9;22;-;74
"293317 Varzedo";2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;3;-;2;2;4;6;2;4;8;7;7;15;-;65
"293320 Vera Cruz";3;-;2;1;2;-;-;-;-;-;-;1;1;-;-;1;-;-;2;6;3;4;17;10;11;7;13;15;18;27;20;35;35;25;52;-;311
"293325 Vereda";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;3;-;-;5;3;4;5;5;12;-;39
"293330 Vitória da Conquista";50;14;23;5;4;2;2;-;1;2;2;-;-;1;-;5;6;13;13;22;15;16;64;56;58;68;83;83;109;139;153;180;211;242;629;11;2282
"293340 Wagner";2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;1;-;-;2;1;1;4;3;4;5;8;17;-;52
"293345 Wanderley";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;3;4;8;2;4;5;8;3;9;5;25;-;82
"293350 Wenceslau Guimarães";10;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;1;-;1;1;-;3;9;6;4;7;3;4;5;10;8;7;11;9;26;-;128
"293360 Xique-Xique";11;2;5;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;2;3;1;4;10;5;7;5;3;15;18;22;16;30;26;22;84;-;294
"290000 Município ignorado - BA";2;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;2;1;1;-;1;4;26;14;19;19;14;17;20;12;12;4;2;5;10;124;311
"Total";1912;433;742;193;106;74;59;51;55;56;50;47;52;50;73;85;144;264;346;510;563;595;2942;2411;2606;2875;3149;3703;4688;5653;6368;7379;8185;8860;26195;183;91657
 Fonte: SESAB/SUVISA/DIVEP/Sistema de Informação sobre Mortalidade - SIM
 
 Notas:
 
   Dados sobre óbitos não fetais de residentes na Bahia, independentemente da UF de ocorrênca.
   "Períodos Disponíveis" refere-se ao ano de ocorrência do óbito.
   Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas.
Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
   Nas tabulações por Estabelecimento de saúde, foram consideradas as unidades que declararam pelo menos um óbito no SIM.
   Os dados de 2006 a 2013 podem estar quantitativamente diferentes da divulgação de outras fontes, em virtude de atualizações posteriores que são feitas no Estado.
   Última atualização realizada em 17/10/2024.
 
