Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Região de Saúde (CIR)
Período:2017
"Município-BA";"Alagoinhas";"Barreiras";"Brumado";"Camaçari";"Cruz das Almas";"Feira de Santana";"Guanambi";"Ibotirama";"Ilhéus";"Irecê";"Itaberaba";"Itabuna";"Itapetinga";"Jacobina";"Jequié";"Juazeiro";"Paulo Afonso";"Porto Seguro";"Ribeira do Pombal";"Salvador";"Santa Maria da Vitória";"Santo Antônio de Jesus";"Seabra";"Senhor do Bonfim";"Serrinha";"Teixeira de Freitas";"Valença";"Vitória da Conquista";"Ignorado - BA";"Total"
"293076 Sítio do Quinto";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;69;-;-;-;-;-;-;-;-;-;-;69
"293077 Sobradinho";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;133;-;-;-;-;-;-;-;-;-;-;-;-;-;133
"293080 Souto Soares";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;116;-;-;-;-;-;-;116
"293090 Tabocas do Brejo Velho";-;41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41
"293100 Tanhaçu";-;-;126;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;126
"293105 Tanque Novo";-;-;-;-;-;-;101;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;101
"293110 Tanquinho";-;-;-;-;-;71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;71
"293120 Taperoá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;104;-;-;104
"293130 Tapiramutá";-;-;-;-;-;-;-;-;-;-;-;-;-;85;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;85
"293135 Teixeira de Freitas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;971;-;-;-;971
"293140 Teodoro Sampaio";-;-;-;-;-;52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;52
"293150 Teofilândia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;126;-;-;-;-;126
"293160 Teolândia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;60;-;-;60
"293170 Terra Nova";-;-;-;-;-;70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;70
"293180 Tremedal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;105;-;105
"293190 Tucano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;276;-;-;-;-;276
"293200 Uauá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;158;-;-;-;-;-;-;-;-;-;-;-;-;-;158
"293210 Ubaíra";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;128;-;-;-;-;-;-;-;128
"293220 Ubaitaba";-;-;-;-;-;-;-;-;-;-;-;148;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;148
"293230 Ubatã";-;-;-;-;-;-;-;-;-;-;-;140;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;140
"293240 Uibaí";-;-;-;-;-;-;-;-;-;99;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;99
"293245 Umburanas";-;-;-;-;-;-;-;-;-;-;-;-;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63
"293250 Una";-;-;-;-;-;-;-;-;141;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;141
"293260 Urandi";-;-;-;-;-;-;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100
"293270 Uruçuca";-;-;-;-;-;-;-;-;141;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;141
"293280 Utinga";-;-;-;-;-;-;-;-;-;-;103;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;103
"293290 Valença";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;555;-;-;555
"293300 Valente";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;149;-;-;-;-;149
"293305 Várzea da Roça";-;-;-;-;-;-;-;-;-;-;-;-;-;73;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;73
"293310 Várzea do Poço";-;-;-;-;-;-;-;-;-;-;-;-;-;62;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;62
"293315 Várzea Nova";-;-;-;-;-;-;-;-;-;-;-;-;-;74;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;74
"293317 Varzedo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;65;-;-;-;-;-;-;-;65
"293320 Vera Cruz";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;311;-;-;-;-;-;-;-;-;-;311
"293325 Vereda";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;39
"293330 Vitória da Conquista";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2285;-;2285
"293340 Wagner";-;-;-;-;-;-;-;-;-;-;52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;52
"293345 Wanderley";-;82;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;82
"293350 Wenceslau Guimarães";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;128;-;-;128
"293360 Xique-Xique";-;-;-;-;-;-;-;-;-;294;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;294
"290000 Município ignorado - BA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;316;316
"Total";3438;2112;2483;3359;1765;7492;2564;1190;2206;2554;1558;3795;1646;2467;3623;2919;1487;2395;1919;20062;1563;3051;1183;1822;3662;2954;1677;4407;316;91669
 Fonte: SESAB/SUVISA/DIVEP/Sistema de Informação sobre Mortalidade - SIM
 
 Notas:
 
   Dados sobre óbitos não fetais de residentes na Bahia, independentemente da UF de ocorrênca.
   "Períodos Disponíveis" refere-se ao ano de ocorrência do óbito.
   Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas.
Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
   Nas tabulações por Estabelecimento de saúde, foram consideradas as unidades que declararam pelo menos um óbito no SIM.
   Os dados de 2006 a 2013 podem estar quantitativamente diferentes da divulgação de outras fontes, em virtude de atualizações posteriores que são feitas no Estado.
   Última atualização realizada em 17/10/2024.
 
